Time,ZebraCount,LionCount
1563000,20,0
1564000,21,0
1565000,21,0
1566000,18,0
1567000,16,0
1568000,15,0
1569000,13,0
1570000,16,0
1571000,14,0
1572000,14,0
1573000,14,0
1574000,14,0
1575000,15,0
1576000,14,0
1577000,13,0
1578000,12,0
1579000,12,0
1580000,13,0
1581000,13,0
1582000,14,0
1583000,15,0
1584000,14,0
1585000,14,0
1586000,13,0
1587000,13,0
1588000,12,0
1589000,11,0
1590000,13,0
1591000,13,0
1592000,10,0
1593000,10,0
1594000,10,0
1595000,10,0
1596000,10,0
1597000,9,0
1598000,9,0
1599000,10,0
1600000,13,0
1601000,12,0
1602000,11,0
1603000,11,0
1604000,11,0
1605000,11,0
1606000,12,0
1607000,14,0
1608000,13,0
1609000,12,0
1610000,11,0
1611000,11,0
1612000,10,0
1613000,11,0
1614000,11,0
1615000,11,0
1616000,11,0
1617000,11,0
1618000,11,0
1619000,10,0
1620000,11,0
1621000,10,0
1622000,10,0
1623000,10,0
1624000,11,0
1625000,11,0
1626000,11,0
1627000,12,0
1628000,11,0
1629000,10,0
1630000,10,0
1631000,9,0
1632000,9,0
1633000,8,0
1634000,7,0
1635000,7,0
1636000,6,0
1637000,7,0
1638000,7,0
1639000,7,0
1640000,6,0
1641000,6,0
1642000,7,0
1643000,7,0
1644000,7,0
1645000,8,0
1646000,9,0
1647000,10,0
1648000,10,0
1649000,9,0
1650000,9,0
1651000,9,0
1652000,8,0
1653000,7,0
1654000,9,0
1655000,9,0
1656000,10,0
1657000,11,0
1658000,10,0
1659000,9,0
1660000,9,0
1661000,8,0
1662000,7,0
1663000,8,0
1664000,8,0
1665000,8,0
1666000,6,0
1667000,6,0
1668000,6,0
1669000,6,0
1670000,5,0
1671000,6,0
1672000,6,0
1673000,7,0
1674000,7,0
1675000,7,0
1676000,6,0
1677000,5,0
1678000,6,0
1679000,6,0
1680000,8,0
1681000,9,0
1682000,9,0
1683000,9,0
1684000,8,0
1685000,9,0
1686000,8,0
1687000,10,0
1688000,9,0
1689000,12,0
1690000,11,0
1691000,10,0
1692000,10,0
1693000,10,0
1694000,9,0
1695000,9,0
1696000,8,0
1697000,6,0
1698000,6,0
1699000,6,0
1700000,7,0
1701000,9,0
1702000,11,0
1703000,12,0
1704000,13,0
1705000,13,0
1706000,11,0
1707000,9,0
1708000,11,0
1709000,13,0
1710000,13,0
1711000,12,0
1712000,12,0
1713000,12,0
1714000,12,0
1715000,13,0
1716000,12,0
1717000,10,0
1718000,10,0
1719000,9,0
1720000,9,0
1721000,9,0
1722000,11,0
1723000,10,0
1724000,11,0
1725000,11,0
1726000,12,0
1727000,13,0
1728000,13,0
1729000,12,0
1730000,11,0
1731000,13,0
1732000,12,0
1733000,12,0
1734000,11,0
1735000,9,0
1736000,7,0
1737000,7,0
1738000,6,0
1739000,6,0
1740000,6,0
1741000,10,0
1742000,10,0
1743000,10,0
1744000,12,0
1745000,9,0
1746000,10,0
1747000,10,0
1748000,9,0
1749000,10,0
1750000,12,0
1751000,10,0
1752000,10,0
1753000,10,0
